str,vi_VN,en_US
filter.lastWeek,Tuần trước,Last week
filter.nextWeek,Tuần sau,Next week
filter.thisMonth,Tháng này,This month
filter.lastMonth,Tháng trước,Last month
filter.nextMonth,Tháng sau,Next month
filter.enterFilterName,Nhập tên bộ lọc,Enter the filter name
group.title,Danh sách nhóm,Groups
group.name,nhóm,group
group.addTitle,Thiết lập không gian làm việc,Setup workspace
group.addDescription,"Không gian làm việc là các nhóm cá nhân ( 1 hoặc nhiều thành viên) hay các nhóm thuộc sàn, tổ chức. Là nơi lưu trữ, hợp tác và chia sẻ dữ liệu khách hàng, quỹ hàng, công việc với các môi giới khác.","Workspaces are groups of individuals (1 or more members) or groups of bourses or organizations. It is a place to store, cooperate and share customer data, real estate, and work with other brokers."
group.addName,Tên nhóm,Group name
group.addHintName,Nhập tên nhóm,Enter group name
group.addDisplayMode,Chế độ hiển thị,Display mode
group.add,Tạo nhóm làm việc,Create working group
group.addButton,Tạo nhóm,Create group
group.cancelAdd,Bạn muốn hủy tạo nhóm làm việc?,Do you want to cancel create a group?
group.addSuccessfully,Tạo nhóm thành công!,Create group successfully!
group.addWithOrgSuccessfully,Tạo nhóm thành công. Nhóm đang chờ xác nhận vào tổ chức!,Create group successfully. Group is waiting to appove to organization!
group.editSuccessfully,Cập nhật thông tin thành công!,Update group successfully!
group.editWithOrgSuccessfully,Cập nhật thông tin thành công. Nhóm đang chờ xác nhận vào tổ chức!,Update group successfully. Group is waiting to appove to organization!
group.edit,Sửa nhóm làm việc,Edit group
group.cancelEdit,Bạn muốn hủy sửa nhóm làm việc ?,Do you want to cancel edit this group?
group.organizationOrCompany,Tổ chức/ Doanh nghiệp ,Organization/ Company
group.selectOrganizationOrCompany,Chọn tổ chức/ doanh nghiệp,Select organization/ company
group.searchOrgById,Tìm kiếm theo mã tổ chức,Search organization by id
group.private,Nhóm sẽ không hiển thị trên công cụ tìm kiếm với những người bên ngoài nhóm.,n/a
group.public,Nhóm sẽ hiển thị trên công cụ tìm kiếm với những người bên ngoài nhóm.,n/a
group.waitForConfirm,Chờ xác nhận,Wait for confirmation
group.personal,Nhóm cá nhân,Personal group
group.deactivateMsg,Dữ liệu các nhóm ngừng hoạt động sẽ bị xoá sau 30 ngày. Bạn nên cân nhắc việc lưu trữ.,Data of deactivated groups will be auto-deleted after 30 days. Consider backup your data.
group.manage,Quản lý nhóm,Manage group
group.emptyDeactivateMsg,Không có nhóm nào!,No group!
group.addMsg,Bạn chưa có nhóm làm việc nào. Hãy tạo nhóm để bắt đầu sử dụng!,You don't have any workgroups yet. Create a group to start using!
group.selectMsg,Vui lòng chọn 1 nhóm làm việc để tiếp tục trải nghiệm!,Please select group to continue!
group.select,Chọn nhóm,Select group
group.detail,Thông tin chi tiết nhóm,Group details
group.addMember,Thêm thành viên,Add member
group.addMemberSuccessfully,Gửi lời mời vào nhóm thành công!,Send invite successfully!
group.member,Thành viên,member
group.cancelAddMember,Bạn muốn hủy thêm những thành viên này vào nhóm?,Cancel process add member to group?
group.more,Mở rộng,More
group.members,Danh sách thành viên,Members
group.totalMembers.one,01 thành viên,01 member
group.totalMembers.other,{} thành viên,{} members
group.roleAndPermission,Vai trò và phân quyền,Role and permission
group.calendar,Lịch nhóm,Group calendar
group.dynamicLink,Link tham gia nhóm,Invite link
group.history,Lịch sử nhóm,Group history
group.outOrg,Rời nhóm khỏi tổ chức,Leave organization
group.outOrgMsg1,Bạn muốn gỡ nhóm,Do you want to remove
group.outOrgMsg2,khỏi tổ chức,from
group.outOrgSuccessfully,Rời nhóm khỏi tổ chức thành công!,Leave organization successfully!
group.cancelJoinOrgMsg,Huỷ yêu cầu tham gia tổ chức thành công!,Request to join the organization was cancelled!
group.out,Rời nhóm,Leave group
group.outMsg,Bạn muốn rời nhóm,Do you want to leave
group.outAndChangeRoleMsg,Trước khi rời nhóm bạn phải chuyển quyền Trưởng nhóm cho thành viên khác:,"Before leaving the group, you must set a new group admin:"
group.outMsgSuccessfully,Bạn đã rời khỏi nhóm {}!,You have left the group {}!
group.close,Đóng nhóm,Close group
group.closeSuccessfully,Đóng nhóm thành công!,Close group successfully!
group.open,Mở nhóm,Open group
group.openSuccessfully,Mở lại nhóm thành công!,Reopen group successfully!
group.openMsg,Bạn muốn mở lại nhóm,Do you want to reopen
group.group,Nhóm,Group
group.closeMsg,sẽ tạm thời ngừng hoạt động và tự xóa sau,temporary deactivate and delete automatic after
group.pressForMore,Bấm để xem thông tin nhóm,Press for more details
group.requestOrgTitle,Yêu cầu tham gia tổ chức đang xử lý,Request to join the organization is being processed
group.requestOrgMsg,Quản trị viên cần xem xét yêu cầu tham gia tổ chức,Moderator needs to review your request to join
group.requestOrgSubMsg,của bạn,Moderator needs to review your request to join
group.roleName,Tên vai trò,Role name
group.setDefaultRole,Đặt làm vai trò mặc định,Set role as default
group.setDefaultRoleMsg,Cập nhật vai trò mặc định thành công!,Default role update successful!
group.enterRoleName,Nhập tên vai trò,Enter roler name
group.deleteRole,Xóa vai trò,Delete role
group.roleMember.one,Thành viên (01),Member (01)
group.roleMember.other,Thành viên ({}),Members ({})
group.changeRole,Chuyển vai trò,Change role
group.changeRoleMsg,Chuyển vai trò thành công!,Role changed successfully!
group.changeRoleTitle,Chọn vai trò mới cho thành viên,Select new role for
group.changeDefaultRoleTitle,Chọn vai trò mặc định,Select default role
group.changeDefaultRoleMsg,Bạn cần chọn 1 vai trò là mặc định cho các thành viên khi được mời vào nhóm:,You need to choose 1 role as default for members when invited to the group:
group.changeRoleOwnerTitle,Bạn muốn chuyển vai trò trưởng nhóm cho thành viên,Do you want to change group owner for
group.changeRoleOwnerSubTitle,Hãy chọn vai trò mới của bạn trước khi chuyển:,Select new role before change:
group.hintSearchMembers,Tìm kiếm theo số điện thoại,Search by phone number
group.addMemberTitle,Thêm thành viên vào nhóm,Add group member
group.myRole,Vai trò của tôi,My role
group.selectRoleMembers,Chọn vai trò cho thành viên,Change role members
group.sendInviteMember,Gửi lời mời,Invite
group.deleteRoleTitle1,Hiện tại có {} thành viên giữ vai trò,There are {} members with role
group.deleteRoleTitle2,Vui lòng chọn vai trò mới cho các thành viên trước khi xóa vai trò: ,Please select new role for these members before delete:
group.deleteDefaultRoleTitle,Vui lòng chọn vai trò mới cho các thành viên và cập nhật vai trò mặc định trước khi xóa vai trò:,Please select new role for these members and update default role before delete:
group.deleteRoleConfirm,Bạn muốn xóa vai trò,Do you want to delete
group.deleteRoleSuccess,Xóa vai trò {} thành công!,Delete {} role successfully!
group.addRoleSuccess,Thêm mới vai trò thành công!,Create role successfully!
group.updateRoleSuccess,Cập nhật vai trò thành công!,Update role successfully!
group.addRole,Thêm mới vai trò,Create new role
group.role,vai trò,role
group.selectNewDefaultRole,Chọn vai trò mặc định mới,Select new default role
group.selectNewRole,Chọn vai trò mới cho thành viên,Select new role
group.selectNewDefaultRoleMsg,Bạn cần chọn 1 vai trò là mặc định cho các thành viên được mời vào nhóm trước khi xóa vai trò:,Please select new default role before delete this role:
group.inviteLinkTitle,Chia sẻ nhóm thông qua link liên kết,Share group via link
group.inviteLinkMsg,Quét mã QR hoặc chia sẻ link để thêm mới các thành viên vào nhóm làm việc,Scan QR code or share link for add more members to group
group.inviteLinkCopy,Sao chép link,Copy link
group.inviteLinkShare,Chia sẻ link,Share link
group.inviteLinkCopySuccessfully,Sao chép link thành công!,Copy link successfully!
group.inviteLinkLocked,Link tham gia nhóm đã tạm thời bị trưởng nhóm khóa!,Invite link has been locked by admin!
group.crmName,Tên CRM: {},CRM's name: {}
group.ownGroup,Nhóm của bạn,Your group
group.joinMsg,Yêu cầu tham gia nhóm đang chờ quản trị viên duyệt!,Your request is waiting for approve by moderator!
group.cancelJoinMsg,Huỷ yêu cầu tham gia nhóm thành công!,Request to join the group was cancelled!
storage.changeRole,Dung lượng gói dịch vụ đang sử dụng của thành viên được chuyển quyền Trưởng nhóm không đủ. Vui lòng chọn vai trò khác phù hợp.,"The current plan storage of this member, who will be transferred as Group Owner is insufficient. Please select a suitable role."
storage.leaveGroup,Dung lượng gói dịch vụ đang sử dụng của thành viên được chuyển quyền Trưởng nhóm không đủ. Vui lòng chọn thành viên khác phù hợp.,"The current plan storage of this member, who will be transferred as Group Owner is insufficient. Please select a suitable member."
member.approveMemberSuccess,Duyệt thành viên vào nhóm thành công!,Approve member to join group successfully!
member.statusActive,Đang hoạt động ({}),Active ({})
member.statusWaiting,Chờ duyệt ({}),Waiting ({})
member.statusInvited,Đã gửi lời mời ({}),Invited ({})
member.statusInactive,Ngừng hoạt động ({}),Inactive ({})
member.sttWaiting,Chờ duyệt vào nhóm,Waiting
member.sttInvited,Đã gửi lời mời ,Invited
member.sttActive,Đã tham gia nhóm,Activated
member.sttInactive,Ngừng tham gia nhóm,Inactivated
member.reInviteMsg,Gửi lại lời mời thành công!,Reinvite successfully!
member.deleteInviteMsg,Xoá lời mời thành công!,Remove invite successfully!
member.rejectRequestMsg,Từ chối yêu cầu thành công!,Reject request successfully!
member.recentAdded,Thêm mới gần đây,Recently added
member.lastSyncContact,Lần cập nhật danh bạ gần nhất,Last sync contacts
member.code,Mã thành viên,Member code
member.deleteConfirm,Bạn muốn xóa thành viên,Do you want you want to remove
member.outGroup,khỏi nhóm,from group
member.deleteSuccessfully,Xoá thành viên khỏi nhóm thành công!,Delete member from group successfully!
member.deleteUnsuccessfully,Xoá thành viên khỏi nhóm không thành công!,Delete member from group unsuccessfully!
time.hour.one,1 giờ,1 hour
time.hour.other,{} giờ,{} hours
time.month.one,1 tháng,1 tháng
time.month.other,{} tháng,{} months
time.minute.one,1 phút,1 minute
time.minute.other,{} phút,{} minutes
time.late,Trễ {},{} late
time.day.one,1 ngày,1 day
time.day.other,{} ngày,{} days
time.dayOfWeek.monday,Thứ 2,Monday
time.dayOfWeek.tuesday,Thứ 3,Tuesday
time.dayOfWeek.wednesday,Thứ 4,Wednesday
time.dayOfWeek.thursday,Thứ 5,Thursday
time.dayOfWeek.friday,Thứ 6,Friday
time.dayOfWeek.saturday,Thứ 7,Saturday
time.dayOfWeek.sunday,Chủ nhật,Sunday
time.shortDayOfWeek.monday,T2,Mon
time.shortDayOfWeek.tuesday,T3,Tue
time.shortDayOfWeek.wednesday,T4,Wed
time.shortDayOfWeek.thursday,T5,Thu
time.shortDayOfWeek.friday,T6,Fri
time.shortDayOfWeek.saturday,T7,Sat
time.shortDayOfWeek.sunday,CN,Sun
server.tokenExpired,Phiên làm việc của bạn đã hết hạn. Xin mời đăng nhập để tiếp tục.,Your session was expired. Please login to continue.
server.groupTokenExpired,Phiên làm việc nhóm của bạn đã hết hạn. Xin mời chọn nhóm để tiếp tục.,Your group session was expired. Please select group to continue.
reallocate.titleInfo,Phân quyền thông tin ,Reallocate data
reallocate.applyPermission,Áp dụng phân quyền thiết lập trước đó,Apply the previously permissions
reallocate.by,Phụ trách bởi,Supervised by
reallocate.setting,Cài đặt quyền của người tham gia,Configure participant permissions
reallocate.pic,Người phụ trách,Person in charge
reallocate.picMsg,Hãy cân nhắc trước khi chuyển giao {} cho thành viên khác vì quyền hạn của bạn có thể bị hạn chế. ,Please consider before transferring {} to another member because your rights may be limited.
reallocate.memberInteract,Thành viên được tương tác {},Members can interact {}
reallocate.interactByPermission,Theo phân quyền vai trò trong nhóm,By role in group
reallocate.whoCanView,Ai được xem thông tin {} này?,Who can view data of this {}?
reallocate.whoCanEdit,Ai được sửa thông tin {} này?,Who can edit data of this {}?
reallocate.whoCanDelete,Ai được xóa thông tin {} này?,Who can delete data of this {}?
reallocate.selectViewMember,Chọn thành viên được xem thông tin {},Select members can view data of {}
reallocate.selectEditMember,Chọn thành viên được sửa thông tin {},Select members can edit data of {}
reallocate.selectDeleteMember,Chọn thành viên được xóa thông tin {},Select members can delete data of {}
reallocate.viewMsg,Trưởng nhóm và Người phụ trách được quyền xem tất cả thông tin {}.,Group owner and person in charge can view all data of {}.
reallocate.popUpPicMsg,"Chỉ Người phụ trách và Trưởng nhóm có quyền xem, sửa, xóa thông tin {}.","Only person in charge and group owner can view, edit, delete all data of {}."
reallocate.popUpRoleMsg,"Các thành viên theo vai trò tương ứng sẽ có quyền được xem, sửa, xóa thông tin của {}.","All members has permissions by role can view, edit, delete all data of {}."
reallocate.popUpCustomMsg,"Người phụ trách, Trưởng nhóm và các thành viên được chọn mới có quyền xem, sửa, xóa thông tin của {}.","Person in charge, group owner and all selected members can view, edit, delete all data of {}."
reallocate.viewInfoMsg,Thông tin nào được hiển thị?,Which information is being displayed?
reallocate.doentHavePermission,"Bạn không có quyền chỉnh sửa phần ""Phân quyền""","You do not have permission to modify the ""Reallocate"" section"
reallocate.selectArea,Vui lòng chọn trường diện tích bắt buộc.,Please select the required area field.
user.information,Thông tin cá nhân,User information
user.brokerName,Tên môi giới,Broker's name
user.gender,Giới tính,Gender
user.dob,Ngày sinh,DOB
user.address,Địa chỉ liên hệ,Address
user.social,Mạng xã hội,Social Network
user.chatAcc,Tài khoản chat,Messaging
user.gMale,Nam,Male
user.gFemale,Nữ,Female
user.gOther,Khác,Other
user.userName,Tên tài khoản,User name
user.avatarMaxSize,Ảnh đại diện không được vượt quá dung lượng 10MB!,Avatar's size must be lower than 10MB!
user.alreadyLoggedIn,Tài khoản đã được đăng nhập,The account was already signed in
work.allDay,Cả ngày,All day
work.partOfDay,Ngày thứ {},{} days
work.priority,Mức độ ưu tiên,Priority
work.low,Thấp,Low
work.medium,Trung bình,Medium
work.high,Cao,High
work.todo,Việc cần làm,Todo
work.startDate,Ngày bắt đầu,Start date
work.endDate,Ngày kết thúc,End date
work.notify,Nhắc hẹn,Notify
work.notifyDesc,Tạo nhắc hẹn giúp môi giới nhận được thông báo kịp thời trước khi công việc diễn ra.,Create appointment reminders to help brokers receive timely notifications before the start of work.
work.toCustomer,Đến khách hàng,To customer
work.relateRealEstate,BĐS liên quan,Relate real estate
work.sttInProgress,Đang xử lý,In Progress
work.sttDone,Hoàn thành,Done
work.sttTodo,Chưa xử lý,Todo
work.noWork,"Chưa có việc quá hạn, việc cần làm",No overdue work
work.noWorkInCharge,"Chưa có việc bạn giao, theo dõi",No in-charge work
work.todayEmpty,Chưa có công việc nào trong hôm nay,No to-do task in today
work.monthEmpty,Chưa có công việc nào trong tháng này,No to do task in this month
work.name,Công việc,Work
work.late,Chậm {},Overdue {}
work.overdueTodo,"Việc quá hạn, việc cần làm","Overdue, to do task"
work.taskInCharge,"Việc bạn giao, theo dõi",Task in charge
work.todoList,Việc cần làm,Todo list
work.createDateTimeMsg,Thời gian bắt đầu phải sớm hơn thời gian kết thúc,Start time must be greater than end time
work.customerRelate,Khách hàng liên quan,Related customer
work.classify,Phân loại đầu việc,Classification of work
work.fullTime,Việc làm cả ngày,Full-time work
work.duration,Thời gian diễn ra,Duration
work.participants,Thành viên tham gia,Participants
work.viewParticipants,Xem thông tin thành viên tham gia,View participant information
customer.createSuccessfully,Tạo khách hàng thành công!,Create customer successfully!
customer.addSuccessfully,Thêm mới khách hàng thành công!,Add customer successfully!
customer.addFromContacts,Thêm mới từ danh bạ,Add from contacts
customer.addManual,Thêm mới thủ công,Manual Add
customer.selectStatus,Chọn trạng thái cho khách hàng,Select status for customer
customer.changeStatus,Chuyển trạng thái,Change status
customer.type,Đối tượng,Customer type
customer.group,Nhóm khách hàng,Customer group
customer.source,Nguồn khách hàng,Customer source
customer.interestedProject,Dự án quan tâm,Interested project
customer.idCard,CMND/ Hộ chiếu,Identity id
customer.passPostDate,Ngày cấp,Issued date
customer.passPostAddress,Nơi cấp,Place of issued
customer.placeOfBirth,Nơi sinh,Place of birth
customer.residentAddress,Địa chỉ thường trú,Resident address
customer.job,Ngành nghề,Job
customer.jobTitle,Chức danh,Job title
customer.totalIncome,Tổng tài sản,Total income
customer.monthlyIncome,Thu nhập trung bình/ tháng,Monthly income
customer.relatedPerson,Người liên quan,Related person
customer.deleteRelatedPersonMsg,Bạn muốn xóa người liên quan này?,Do you want to delete this related person?
customer.relation,Mối quan hệ,Relation
customer.personal,Cá nhân,Personal
customer.company,Doanh nghiệp,Company
customer.companyName,Tên doanh nghiệp,Company name
customer.companyTax,Mã số thuế,Tax ID
customer.cancelAddMember,Bạn muốn hủy thêm mới những khách hàng này?,Do you want cancel add new customers?
customer.membersViewed,Thành viên đã xem,Seen by members
customer.count.one,{} khách hàng,{} customer
customer.count.other,{} khách hàng,{} customers
customer.deleteMasterDataAlso,{} này cũng sẽ bị xóa ở những khách hàng đã được tạo.,This {} will also be deleted in already created customer.
customer.keepSearchMsg,Bạn có muốn hiển thị danh sách khách hàng với từ khóa tìm kiếm hiện tại?,Do you want to display customers with current search key words?
customer.buy,Khách mua,Customer
notification.markRead,Đánh dấu thông báo là đã đọc,Mark as read
notification.markUnRead,Đánh dấu thông báo là chưa đọc,Mark as unread
notification.turnOffFrom,Tắt tất cả thông báo từ {} này,Turn off all notifications from this {}
notification.turnOnFrom,Bật tất cả thông báo từ {} này,Turn on all notifications from this {}
notification.markAllRead,Đánh dấu tất cả là đã đọc,Mark all as read
notification.empty,Không có thông báo,No notifications
notification.acceptOrg,Đã duyệt yêu cầu tham gia tổ chức!,Request to join the organization was accepted
notification.acceptGroup,Đã chấp nhận lời mời vào nhóm!,Invitation to join the group was accepted
sortBy.dateDesc,Ngày tạo mới nhất,Newest
sortBy.dateAsc,Ngày tạo cũ nhất,Oldest
sortBy.priceAsc,Giá tăng dần,Lowest price
sortBy.priceDesc,Giá giảm dần,Highest price
sortBy.areaAsc,Diện tích tăng dần,Lowest area
sortBy.areaDesc,Diện tích giảm dần,Highest area
sortBy.name,Tên,Name
sortBy.interactDesc,Tương tác mới nhất,Newest interactive
sortBy.interactAsc,Tương tác cũ nhất,Oldest interactive
sortBy.lastUpdateDate,Ngày cập nhật mới nhất,Last update date
demand.needOne,Cần có ít nhất 1 thông tin để so khớp!,Need at least 1 field to matching!
demand.match,So khớp,Matching
demand.matchButton,So khớp nhu cầu phù hợp,Match demand
demand.available.one,Có {} nhu cầu {},{} {} demand
demand.available.other,Có {} nhu cầu {},{} {} demands
demand.carSlot,{} ô tô,{} cars
demand.motorSlot,{} xe máy,{} motorbikes
demand.bedRoom,PN,BRs
demand.restRoom,WC,WCs
discuss.noComment,Chưa có bình luận!,No comments yet!
discuss.available.one,Có {} bình luận,{} comment
discuss.available.other,Có {} bình luận,{} comments
dashboard.news,Hôm nay có gì mới?,News feed
dashboard.important,Quan trọng,Important
dashboard.statistics,Báo cáo,Statistics
dashboard.booking,Booking,Booking
dashboard.marketing,Marketing,Marketing
dashboard.priceList,Báng giá,Price list
dashboard.miniApp,Mini Apps cho bạn,Mini Apps for you
dashboard.quote,Bảo mật dữ liệu của nhà môi giới là ưu tiên hàng đầu của chúng tôi,Keep your data secure is our mission
dashboard.monthReport,Tháng {} này bạn có những gì,What do you have this {}
dashboard.hot,hot/ gấp,hot/ urgent
dashboard.newRealEstate.one, bất động sản được thêm mới, new real estate 
dashboard.newRealEstate.other, bất động sản được thêm mới, new real estates
dashboard.newCustomer.one,Khách hàng mới,New customer
dashboard.newCustomer.other,Khách hàng mới,New customers
dashboard.newDemand.one,Nhu cầu mới,New demand
dashboard.newDemand.other,Nhu cầu mới,New demands
dashboard.newWork.one,Công việc mới,New task
dashboard.newWork.other,Công việc mới,New tasks
dashboard.noActivityToday,Nhóm chưa có hoạt động nào trong hôm nay,Group has no activities in today
dashboard.noActivityMonth,Nhóm chưa có hoạt động nào trong tháng này,Group has no activities in this month
demand.setting,Cài đặt thông tin nhu cầu,Setting demand fields
demand.fields,Thông tin muốn so khớp,Matching fields
demand.matchPercentage,Tỷ lệ % khớp thông tin,Matching percentage
demand.notification,Bật chức năng này giúp bạn nhận được thông báo nhu cầu phù hợp nhất với tỷ lệ % đã cài đặt,Enable this feature to receive notifications about match demand with the setup percentage
demand.pullPercentage,Kéo và lưu tỉ lệ % so khớp mà bạn mong muốn,Drag and save the match percentage
demand.fieldsMsg,"Với mỗi bất động sản được nhập lên, hãy chọn những trường thông tin cần thiết để so khớp","For each real estate input, please select these fields to match"
demand.draftSave,Bạn muốn lưu nháp lại nhu cầu không?,Do you want to save this draft demand?
demand.quickMatch,So khớp nhanh nhu cầu,Quich match demand
demand.realEstateForSale,Bất động sản cần {},Real Estate for {}
demand.listRealEstate,Danh sách bất động sản,List of real estate.
demand.showRealEstateMedia,"Ảnh, video của bất động sản sẽ được hiển thị?","Will image, video of real restate can be displayed?"
demand.infor,Thông tin nhu cầu,Demand Information
demand.createSuccessfully,Tạo nhu cầu thành công!,Create demand successfully!
demand.neededToBuy,Loại nhà đất cần mua,Type of real estate needed to buy
demand.neededToRent,Loại nhà đất cần thuê,Type of real estate needed to rent
demand.neededForSaleAndTransfer,Loại nhà đất cần mua sang nhượng,Type of real estate needed for sale and transfer
demand.minimumBookingDeposit,Tiền đặt chỗ tối thiểu,Minimum Booking Deposit
demand.minimumDeposit,Tiền cọc tối thiểu,Minimum Deposit
demand.customersLookingToBuy,Khách có nhu cầu mua,Customers looking to buy
demand.customersLookingToRent,Khách có nhu cầu thuê,Customers looking to rent
demand.customersLookingToBuyOrTransferOwnership,Khách có nhu cầu mua sang nhượng,Customers looking to buy or transfer ownership
suggestion.quick,Đề xuất nhanh,Quick suggestion
suggestion.available,{} khớp từ {}% thông tin trở lên,{} from {}% informations
suggestion.result.one,Có #{} kết quả#,There is #{} match#
suggestion.result.other,Có #{} kết quả#,There are #{} matches#
suggestion.title,Nhu cầu phù hợp,Matched demand
suggestion.internal,Nội bộ nhóm,Internal group
suggestion.internalDescription,Chỉ các môi giới trong nhóm hiện tại có thể đề xuất ra nhu cầu của bạn,Only brokers in this group can propose your demands
suggestion.otherGroup,Các nhóm khác,Other group
suggestion.otherGroupDescription,Tất cả môi giới trên Meey CRM có thể đề xuất ra nhu cầu của bạn,All brokers on Meey CRM can propose your demands
suggestion.percentage,Tỷ lệ khớp thông tin,Matching percentage
suggestion.realEstateFields,Thông tin bất động sản trùng khớp,Matching real estate fields
package.buyMoreStorage,Mua thêm dung lượng lưu trữ,Buy more storage
package.monthly,Hàng tháng,Monthly
package.annual,Hàng năm,Annual
package.buyNow,Mua ngay,Buy now
package.myPackage,Gói hiện tại,Current package
package.changePackage,Thay đổi gói dung lượng,Change storage plan
package.changePackageDes,Thời gian còn lại của gói dung lượng đang sử dụng sẽ được quy đổi thành tiền và hoàn lại cho bạn,The remaining time of the currently used package will be converted into money and refunded to you
package.currentPackage,Thông tin gói hiện tại,Current package information
package.timeSpent,Thời gian đã dùng,Time spent
package.timeRemain,Thời gian còn lại,Time remaining
package.moneyRefund,Số tiền hoàn lại,Refund amount
package.refundToKM2,*Số tiền hoàn sẽ được chuyển vào tài khoản KM2,*Refund amount will be transferred to KM2 account
package.newPackageInfo,Thông tin gói mua mới,New purchase package information
package.confirmChangePackage,Xác nhận mua gói mới,Confirm purchase of new package
package.storage,Dung lượng gói dịch vụ,Service package capacity
package.gotoManager,Đến quản lý gói dịch vụ,Go to service package management
topup.deposit,Nạp tiền,Deposit
topup.selectTopUpPackage,Chọn gói nạp tiền,The selected top-up package
topup.orInputAmount,Hoặc nhập số tiền,Or enter the amount
topup.amountAfterTransaction,Số dư sau giao dịch,The balance after the transaction
topup.promotion,Khuyến mãi,Promotion
topup.mainAccount,Tài khoản chính,Main account
topup.promotionAccount2,Tài khoản khuyến mãi 2,Promotional account 2
topup.promotionProcess,*Giao dịch cộng tiền vào tài khoản khuyến mãi được xử lý trong vòng 24h,*The transaction of crediting money into the promotional account will be processed within 24 hours.
topup.toValue,vào giá trị gói nạp,into the value of the top-up package
toup.minimunAmount,"Số tiền nạp tối thiểu 50,000","Minimum top-up amount is 50,000 VND."
topup.enterAmount,Nhập số tiền,Enter the amount
topup.acceptTerm,Tôi đồng ý với tất cả các ,I agree to
topup.term,điều khoản sử dụng,Terms of Use
topup.support,Liên hệ CSKH,Customer Support Contact
topup.or,hoặc,or
topup.confirm,Xác nhận nạp tiền,Deposit Confirmation
topup.payer,Người thanh toán,Payer
topup.name,Họ và tên,Full name
topup.enterName,Nhập họ và tên,Please enter your full name
topup.phone,Số điện thoại,Phone
topup.enterPhone,Nhập số điện thoại,Please enter your phone number
topup.email,Email,Email
topup.enterEmail,Nhập Email,Please enter your email
topup.paymentMethod,Phương thức thanh toán,Payment method
toup.amountToBePay,Số tiền cần thanh toán,The amount to be paid
topup.back,Quay lại,Go back
topup.paymentResult,Kết quả giao dịch,Transaction result
topup.paymentInfo,Thông tin thanh toán,Payment information
topup.transactionCode,Mã giao dịch,Transaction code
topup.time,Thời gian,Time
topup.otherInfo,Thông tin khác,Other information
topup.walletReceiver,Tài khoản nhận tiền,Recipient account
topup.walletSent,Tài khoản nguồn,Source account
topup.method,Phương thức,Payment method
topup.reasonFailure,Lý do thất bại,The reason for failure.
topup.addMore,Nạp thêm tiền,Top up money
topup.paymentInstruction,Hướng dẫn thanh toán,Payment instructions
topup.paymentInstructionDes,Vui lòng chuyển khoản theo hướng dẫn dưới đây để hoàn tất giao dịch nạp tiền,Please transfer according to the instructions below to complete the deposit transaction
topup.bank,Ngân hàng,Bank
topup.promotionDes,Tiền khuyến mại của gói nạp sẽ được cộng vào tài khoản khuyến mại 2,The promotional bonus money from the top-up package will be credited to promotional account 2
topup.bankNumber,Số tài khoản,Bank account number
topup.accountHolder,Chủ tài khoản,Bank account holder
topup.amountNeedToDeposit,Số tiền cần nạp,The amount to be deposited
topup.bankDes,Nội dung chuyển khoản,Transfer description
field.copySuccessful,Sao chép thành công,Copy successful
field.sybbolMoney,đ,$
package.product,Sản phẩm,Product
package.timeUse,Thời gian sử dụng,The duration of use
package.totalAmount,Thành tiền (gồm VAT),The total amount (including VAT)
package.packageStorage,({}GB dung lượng),({}GB capacity)
package.packageNumberDay,{} ngày,{} day
package.extens,Gia hạn,Extension
package.transactionInfo,Thông tin giao dịch,Transaction information
package.transactionService,Dịch vụ,Sevice
package.transactionHistory,Lịch sử giao dịch,Transaction history
package.backToHome,Về trang chủ,Back to home
package.tryagain,Thực hiện lại,Try again
package.transactionSuccess,Giao dịch thành công,Successful transaction
package.transactionFail,Giao dịch thất bại,Failed transaction
package.transactionPending,Giao dịch đang được xử lý,Transaction is being processed
package.transactionServiceName,Thanh toán Meey CRM,Payment for Meey CRM
realEstate.projectTable,Bảng hàng dự án,Project row table
realEstate.projectSearch,Tìm kiếm dự án,Search for projects
realEstate.projectSelect,Chọn dự án,Select project
realEstate.empty,Trống,Empty
realEstate.reservation,Đặt chỗ,Reservations
realEstate.deposit,Đặt cọc,Deposit
realEstate.close,Đóng,Close
realEstate.notOpen,Chưa mở,Not opened yet
realEstate.addNewRealEstate,Thêm mới bất động sản,Add new real estate
realEstate.chooseRealEstate,Chọn từ bất động sản đã tạo,Choose from created properties
realEstate.removeRealEstateSuccess,Gỡ bất động sản khỏi bản vẽ thành công,Successfully removed the property from the drawing
realEstate.noPermissionAction,Bạn không có quyền thực hiện chức năng này,You do not have permission to perform this function
realEstate.noFloorPlans,Chưa có ảnh mặt bằng,There are no floor plans yet
realEstate.seeInstruction,Xem hướng dẫn,See the instructions
realEstate.doesNotPermision,Bản ghi này không tồn tại hoặc bạn không có quyền truy cập vào bản ghi này,This record does not exist or you do not have permission to access this record
realEstate.choose,Chọn bất động sản,Choose real estate
realEstate.chooseDes,"Các trường thông tin của bất động sản gồm: Dự án, tên bảng hàng, địa chỉ sẽ được thay đổi theo bảng hàng này. Để tiếp tục vui lòng xác nhận sự thay đổi này","Real estate information fields include: Project, row table name, and address will be changed according to this row table. To continue please confirm this change"
realEstate.built,Đã xây,Built
work.customizeReminder,Tùy chỉnh nhắc hẹn,Customize reminders
work.dateOfTheTask,Ngày diễn ra công việc,Date of the task
